condition_id,view,difficulty,condition_split,source_frame,source_camera,pose_index,pose_energy,source_condition,source_condition_sha256,full_body_uncropped,hand_screening_status,canonical_gate_view
cond_000209,left,medium,validation,324,camera_000209,52,0.5036005089358631,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000209.png,6a042ccf0af57465cbfa003329a1a7a75d893e8d5d482436a12ac3563ed290bc,True,PASS_SCREENED,False
cond_000065,left,hard,novel_pose_test,100,camera_000065,16,0.5038702149464046,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000065.png,ce46639865cbd6d7f707ac8070875a2d111146a07094616cc58115b758d68b35,True,PASS_SCREENED,False
cond_000017,left,hard,train,25,camera_000017,4,0.5999612210475861,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000017.png,049e98f013a85d812d0d36b74441c34afa900cb3c0c445d03ab8819ae9f220d7,True,PASS_SCREENED,True
cond_000099,right,easy,train,150,camera_000099,24,0.47045742337961466,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000099.png,9ee69a4f4c68a2d853fa5b3bc161aa61947f0a7888ce9bf3f30fda338e29d637,True,PASS_SCREENED,False
cond_000347,right,easy,train,536,camera_000347,86,0.4903257666390778,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000347.png,7a897df8d7bb0e26274abbc9c03754ba2c1986bfcf20eb2d7b46beb3a2481499,True,PASS_SCREENED,True
cond_000147,right,easy,train,224,camera_000147,36,0.5003070129213666,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000147.png,28e662219ea4826644a0cd2c75a36393b8a42cc92d9abe209e2808393d1ac59b,True,PASS_SCREENED,False
cond_000279,right,medium,train,430,camera_000279,69,0.5233340230253926,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000279.png,b14a50ad8ca651fb2ad6503c17326c52ae2ad44f3c3ac639fd5b3bfd4f987a89,True,PASS_SCREENED,False
cond_000255,right,medium,train,393,camera_000255,63,0.5390591541489035,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000255.png,5862cdc2654691bed5fea32853598d7c17ef335670761fc6ccd6ce1686305b74,True,PASS_SCREENED,False
cond_000003,right,medium,validation,0,camera_000003,0,0.5522830030688758,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000003.png,5466b621b1e5f5d437723701ad9a543040fac0bd29ea7a4212ca337ca4849506,True,PASS_SCREENED,False
cond_000007,right,hard,train,6,camera_000007,1,0.5839406741309767,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000007.png,e748fe66a9fb98b8f27de1b80b827c8c1e02cbdf0ab356be494429efd347d470,True,PASS_SCREENED,False
cond_000095,right,hard,novel_pose_test,143,camera_000095,23,0.6375392714745496,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000095.png,63a84814bab361ff3518851c8d6e49ca84ad4b0b7a5013189e326746d6a1263a,True,PASS_SCREENED,False
